"Año";"Mes";"División";"Grupo";"Clase";"Subclase";"Producto";"Glosa";"Ponderación";"Índice";"Variación Mensual (%)";"Variación Acumulada (%)";"Variación 12 Meses (%)";"Incidencia Mensual (%)";"Incidencia Acumulada (%)";"Incidencia 12 Meses (%)"
2019;1;;;;;;"IPC General";;100,75;0,1;0,1;;;;
2019;1;1;;;;;"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS";19,30131;100,5;-0,3;-0,3;;-0,051;-0,051;
2019;1;1;1;;;;"ALIMENTOS";17,13731;100,32;-0,3;-0,3;;-0,045;-0,045;
2019;1;1;1;1;;;"PAN Y CEREALES";4,03457;101,58;0,3;0,3;;0,011;0,011;
2019;1;1;1;1;1;;"ARROZ";0,18033;98,62;-1,1;-1,1;;-0,002;-0,002;
2019;1;1;1;1;1;1;"ARROZ";0,18033;98,62;-1,1;-1,1;;-0,002;-0,002;
2019;1;1;1;1;2;;"HARINAS Y CEREALES";0,31595;100,48;-0,5;-0,5;;-0,002;-0,002;
2019;1;1;1;1;2;1;"HARINA";0,09428;101,43;2;2;;0,002;0,002;
2019;1;1;1;1;2;2;"CEREAL";0,22167;100,08;-1,6;-1,6;;-0,004;-0,004;
2019;1;1;1;1;3;;"PAN Y OTROS PRODUCTOS DE PANADERÍA";3,27246;101,83;0,4;0,4;;0,013;0,013;
2019;1;1;1;1;3;1;"PAN";2,08381;102;0,1;0,1;;0,003;0,003;
2019;1;1;1;1;3;2;"GALLETA";0,42102;101,11;1,6;1,6;;0,007;0,007;
2019;1;1;1;1;3;3;"PRODUCTOS DE REPOSTERÍA";0,56276;102,47;0,6;0,6;;0,003;0,003;
2019;1;1;1;1;3;4;"MASAS SALADAS PREPARADAS";0,10138;101,53;1;1;;0,001;0,001;
2019;1;1;1;1;3;5;"SNACK";0,10349;98,37;-0,6;-0,6;;-0,001;-0,001;
2019;1;1;1;1;4;;"PASTAS";0,26583;101,73;0,6;0,6;;0,002;0,002;
2019;1;1;1;1;4;1;"PASTAS";0,26583;101,73;0,6;0,6;;0,002;0,002;
2019;1;1;1;2;;;"CARNES";4,39152;99,31;0,2;0,2;;0,008;0,008;
2019;1;1;1;2;1;;"CARNE DE VACUNO FRESCA, REFRIGERADA O CONGELADA";1,83118;98,57;-0,2;-0,2;;-0,004;-0,004;
2019;1;1;1;2;1;1;"CARNE DE VACUNO";1,83118;98,57;-0,2;-0,2;;-0,004;-0,004;
2019;1;1;1;2;2;;"CARNE DE CERDO FRESCA, REFRIGERADA O CONGELADA";0,45693;98,56;-1,1;-1,1;;-0,005;-0,005;
2019;1;1;1;2;2;1;"CARNE DE CERDO";0,45693;98,56;-1,1;-1,1;;-0,005;-0,005;
2019;1;1;1;2;3;;"CARNE DE AVE FRESCA, REFRIGERADA O CONGELADA";0,98958;100,54;2,8;2,8;;0,027;0,027;
2019;1;1;1;2;3;1;"CARNE DE PAVO";0,07385;105,78;2,4;2,4;;0,002;0,002;
2019;1;1;1;2;3;2;"CARNE DE POLLO";0,91573;100,12;2,8;2,8;;0,025;0,025;
2019;1;1;1;2;4;;"CARNE PROCESADA Y FIAMBRERÍA";1,11383;99,75;-0,9;-0,9;;-0,01;-0,01;
2019;1;1;1;2;4;1;"CECINAS";0,98478;99,82;-0,7;-0,7;;-0,007;-0,007;
2019;1;1;1;2;4;2;"HAMBURGUESA";0,12905;99,23;-2,3;-2,3;;-0,003;-0,003;
2019;1;1;1;3;;;"PESCADOS Y MARISCOS";0,57242;99,82;3,4;3,4;;0,019;0,019;
2019;1;1;1;3;1;;"PESCADOS FRESCOS, REFRIGERADOS O CONGELADOS";0,26577;100,64;6,8;6,8;;0,017;0,017;
2019;1;1;1;3;1;1;"PESCADOS";0,26577;100,64;6,8;6,8;;0,017;0,017;
2019;1;1;1;3;2;;"MARISCOS FRESCOS, REFRIGERADOS O CONGELADOS";0,08082;99,44;2,1;2,1;;0,002;0,002;
2019;1;1;1;3;2;1;"MARISCOS";0,08082;99,44;2,1;2,1;;0,002;0,002;
2019;1;1;1;3;3;;"PESCADOS Y MARISCOS EN CONSERVA";0,22583;98,99;0,2;0,2;;0;0;
2019;1;1;1;3;3;1;"PESCADOS EN CONSERVA";0,20353;98,42;-0,1;-0,1;;0;0;
2019;1;1;1;3;3;2;"MARISCOS EN CONSERVA";0,0223;104,19;2,1;2,1;;0;0;
2019;1;1;1;4;;;"PRODUCTOS LÁCTEOS, QUESOS Y HUEVOS";2,42231;99,54;-0,8;-0,8;;-0,02;-0,02;
2019;1;1;1;4;1;;"LECHES";0,72248;99,86;1;1;;0,007;0,007;
2019;1;1;1;4;1;1;"LECHE EN POLVO";0,18644;103,68;-0,5;-0,5;;-0,001;-0,001;
2019;1;1;1;4;1;2;"LECHE LÍQUIDA";0,45256;98,19;1,6;1,6;;0,007;0,007;
2019;1;1;1;4;1;3;"LECHE CONSERVADA";0,08348;100,34;1;1;;0,001;0,001;
2019;1;1;1;4;2;;"YOGHURT Y POSTRES LÁCTEOS";0,44962;100,55;-0,9;-0,9;;-0,004;-0,004;
2019;1;1;1;4;2;1;"YOGHURT";0,37669;100,43;-1,2;-1,2;;-0,005;-0,005;
2019;1;1;1;4;2;2;"POSTRES LÁCTEOS";0,07293;101,15;0,7;0,7;;0,001;0,001;
2019;1;1;1;4;3;;"QUESOS";0,84248;99,99;-1,7;-1,7;;-0,014;-0,014;
2019;1;1;1;4;3;1;"QUESO";0,84248;99,99;-1,7;-1,7;;-0,014;-0,014;
2019;1;1;1;4;4;;"HUEVOS";0,40773;96,91;-2;-2;;-0,008;-0,008;
2019;1;1;1;4;4;1;"HUEVOS";0,40773;96,91;-2;-2;;-0,008;-0,008;
2019;1;1;1;5;;;"ACEITES Y GRASAS";0,53071;101,18;0,5;0,5;;0,002;0,002;
2019;1;1;1;5;1;;"MANTEQUILLA Y MARGARINA";0,23888;104,16;0,1;0,1;;0;0;
2019;1;1;1;5;1;1;"MANTEQUILLA";0,16426;104,59;-1,3;-1,3;;-0,002;-0,002;
2019;1;1;1;5;1;2;"MARGARINA";0,07462;103,2;3,5;3,5;;0,003;0,003;
2019;1;1;1;5;2;;"ACEITES COMESTIBLES";0,29183;98,74;0,7;0,7;;0,002;0,002;
